ID, Antenna, Switches, Position, Value, Value decimal
421, 10, 1111, 01, 0000000000000000, 0
422, 10, 1111, 01, 0000000000000000, 0
423, 10, 1111, 01, 0000000000000000, 0
424, 10, 1111, 01, 0000000000000000, 0
425, 10, 1111, 01, 0000000000000010, 2
426, 10, 1111, 01, 0000000000000000, 0
427, 10, 1111, 01, 1111111111111110, -2
428, 10, 1111, 01, 0000000000000010, 2
429, 10, 1111, 01, 0000000000000000, 0
430, 10, 1111, 01, 0000000000000010, 2
431, 10, 1111, 01, 0000000000000001, 1
432, 10, 1111, 01, 0000000000000000, 0
433, 10, 1111, 01, 0000000000000011, 3
434, 10, 1111, 01, 0000000000000001, 1
435, 10, 1111, 01, 0000000000000000, 0
436, 10, 1111, 01, 0000000000000001, 1
437, 10, 1111, 01, 0000000000000000, 0
438, 10, 1111, 01, 0000000000000001, 1
439, 10, 1111, 01, 0000000000000010, 2
440, 10, 1111, 01, 0000000000000001, 1
441, 10, 1111, 01, 0000000000000000, 0
442, 10, 1111, 01, 0000000000000010, 2
443, 10, 1111, 01, 0000000000000000, 0
444, 10, 1111, 01, 0000000000000001, 1
445, 10, 1111, 01, 0000000000000000, 0
446, 10, 1111, 01, 0000000000000000, 0
447, 10, 1111, 01, 1111111111111111, -1
448, 10, 1111, 01, 0000000000000000, 0
449, 10, 1111, 01, 0000000000000001, 1
450, 10, 1111, 01, 0000000000000001, 1
451, 10, 1111, 01, 0000000000000010, 2
452, 10, 1111, 01, 0000000000000001, 1
453, 10, 1111, 01, 0000000000000010, 2
454, 10, 1111, 01, 0000000000000011, 3
455, 10, 1111, 01, 0000000000000011, 3
456, 10, 1111, 01, 0000000000000001, 1
457, 10, 1111, 01, 0000000000000000, 0
458, 10, 1111, 01, 0000000000000001, 1
459, 10, 1111, 01, 0000000000000001, 1
460, 10, 1111, 01, 0000000000000000, 0
461, 10, 1111, 01, 0000000000000000, 0
462, 10, 1111, 01, 0000000000000000, 0
463, 10, 1111, 01, 0000000000000001, 1
464, 10, 1111, 01, 0000000000000001, 1
465, 10, 1111, 01, 0000000000000010, 2
466, 10, 1111, 01, 0000000000000010, 2
467, 10, 1111, 01, 0000000000000010, 2
468, 10, 1111, 01, 0000000000000001, 1
469, 10, 1111, 01, 1111111111111101, -3
470, 10, 1111, 01, 0000000000000010, 2
471, 10, 1111, 01, 0000000000000000, 0
472, 10, 1111, 01, 1111111111111110, -2
473, 10, 1111, 01, 0000000000000000, 0
474, 10, 1111, 01, 0000000000000010, 2
475, 10, 1111, 01, 0000000000000010, 2
476, 10, 1111, 01, 0000000000000001, 1
477, 10, 1111, 01, 0000000000000000, 0
478, 10, 1111, 01, 1111111111111111, -1
479, 10, 1111, 01, 0000000000000000, 0
480, 10, 1111, 01, 0000000000000001, 1
481, 10, 1111, 01, 1111111111111110, -2
482, 10, 1111, 01, 1111111111111101, -3
483, 10, 1111, 01, 0000000000000000, 0
484, 10, 1111, 01, 0000000000000000, 0
485, 10, 1111, 01, 1111111111111111, -1
486, 10, 1111, 01, 0000000000000010, 2
487, 10, 1111, 01, 0000000000000001, 1
488, 10, 1111, 01, 0000000000000000, 0
489, 10, 1111, 01, 0000000000000001, 1
490, 10, 1111, 01, 0000000000000000, 0
491, 10, 1111, 01, 0000000000000000, 0
492, 10, 1111, 01, 0000000000000001, 1
493, 10, 1111, 01, 1111111111111110, -2
494, 10, 1111, 01, 1111111111111111, -1
495, 10, 1111, 01, 0000000000000010, 2
496, 10, 1111, 01, 0000000000000001, 1
497, 10, 1111, 01, 0000000000000000, 0
498, 10, 1111, 01, 0000000000000000, 0
499, 10, 1111, 01, 0000000000000000, 0
500, 10, 1111, 01, 0000000000000001, 1
501, 10, 1111, 01, 0000000000000000, 0
502, 10, 1111, 01, 0000000000000001, 1
503, 10, 1111, 01, 0000000000000000, 0
504, 10, 1111, 01, 0000000000000000, 0
505, 10, 1111, 01, 0000000000000001, 1
506, 10, 1111, 01, 0000000000000000, 0
507, 10, 1111, 01, 1111111111111110, -2
508, 10, 1111, 01, 0000000000000000, 0
509, 10, 1111, 01, 0000000000000000, 0
510, 10, 1111, 01, 0000000000000000, 0
511, 10, 1111, 01, 0000000000000010, 2
