time realx realy realh kalx kaly kalh gpsx gpsy gpsh kinx kiny kinh imuh
4.16624 -1.68991e-06 0.0340053 -0.00600132 -2.40683e-06 0.0345687 -0.00600133 -0.188986 0.463124 -20.6431 0 0.031119 0 138.772
4.18322 -2.06205e-06 0.037584 -0.00591496 -2.93466e-06 0.0382122 -0.00591497 -0.188986 0.463124 -20.6431 0 0.0345632 0 138.772
4.20024 -2.4942e-06 0.0413437 -0.00725657 -3.5418e-06 0.0420394 -0.00725658 -0.188986 0.463124 -20.6431 0 0.0382149 0 138.771
4.21723 -2.99052e-06 0.0452875 -0.00716435 -4.23635e-06 0.046058 -0.00716436 -0.188986 0.463124 -20.6431 0 0.0420341 0 138.771
4.23425 -3.55938e-06 0.0494123 -0.00863949 -5.02063e-06 0.0502394 -0.00863949 -0.188986 0.463124 -20.6431 0 0.0460606 0 138.769
4.25123 -4.20503e-06 0.0537182 -0.00854287 -5.91271e-06 0.0546249 -0.00854287 -0.188986 0.463124 -20.6431 0 0.0502311 0 138.769
4.26827 -4.93792e-06 0.0582099 -0.0101544 -6.92305e-06 0.0592106 -0.0101545 -0.188986 0.463124 -20.6431 0 0.0546294 0 138.768
4.28524 -5.76089e-06 0.062876 -0.0100564 -8.04751e-06 0.0639596 -0.0100564 -0.188986 0.463124 -20.6431 0 0.0591974 0 138.768
4.30226 -6.68687e-06 0.06773 -0.011804 -9.29927e-06 0.0688787 -0.011804 -0.188986 0.463124 -20.6431 0 0.0639613 0 138.766
4.31922 -7.7182e-06 0.072757 -0.0117053 -1.06941e-05 0.0739881 -0.0117053 -0.188986 0.463124 -20.6431 0 0.0688617 0 138.766
4.33622 -8.86804e-06 0.0779669 -0.0135853 -1.2236e-05 0.0792658 -0.0135854 -0.188986 0.463124 -20.6431 0 0.0739813 0 138.764
4.35322 -1.01438e-05 0.0833686 -0.0134793 -1.39429e-05 0.0847362 -0.0134793 -0.188986 0.463124 -20.6431 0 0.0792582 0 138.765
4.37025 -1.15557e-05 0.0889519 -0.0154977 -1.58208e-05 0.0903801 -0.0154977 -0.188986 0.463124 -20.6431 0 0.0847368 0 138.763
4.38724 -1.31086e-05 0.0947132 -0.0153899 -1.7883e-05 0.0962054 -0.0153899 -0.188986 0.463124 -20.6431 0 0.0903661 0 138.763
4.40421 -1.48115e-05 0.100641 -0.0175307 -2.0158e-05 0.102236 -0.0175307 -0.188986 0.463124 -20.6431 0 0.096185 0 138.761
4.42123 -1.66819e-05 0.106775 -0.0174102 -2.26479e-05 0.108462 -0.0174102 -0.188986 0.463124 -20.6431 0 0.102229 0 138.761
4.43825 -1.87249e-05 0.113085 -0.0196907 -2.53743e-05 0.114885 -0.0196907 -0.188986 0.463124 -20.6431 0 0.108457 0 138.758
4.45523 -2.09468e-05 0.11957 -0.0195698 -2.83438e-05 0.121499 -0.0195698 -0.188986 0.463124 -20.6431 0 0.114863 0 138.758
4.47223 -2.30686e-05 0.126235 -0.0169094 -3.12164e-05 0.128239 -0.0169094 -0.188986 0.463124 -20.6431 0 0.121482 0 138.761
4.48925 -2.50868e-05 0.133099 -0.0167841 -3.40832e-05 0.135207 -0.0167841 -0.188986 0.463124 -20.6431 0 0.128228 0 138.761
4.50623 -2.69721e-05 0.14012 -0.0139876 -3.6841e-05 0.142309 -0.0139876 -0.188986 0.463124 -20.6431 0 0.135178 0 138.764
4.52323 -2.87266e-05 0.14734 -0.0138588 -3.95922e-05 0.149665 -0.0138589 -0.188986 0.463124 -20.6431 0 0.142287 0 138.764
4.54023 -3.0688e-05 0.154733 -0.0165406 -4.26021e-05 0.157161 -0.0165406 -0.188986 0.463124 -20.6431 0 0.149642 0 138.761
4.55726 -3.28711e-05 0.162328 -0.0164018 -4.59495e-05 0.164896 -0.0164018 -0.188986 0.463124 -20.6431 0 0.157143 0 138.762
4.57423 -3.48798e-05 0.170073 -0.0133175 -4.91795e-05 0.172795 -0.0133175 -0.188986 0.463124 -20.6431 0 0.164855 0 138.765
4.59126 -3.67205e-05 0.178033 -0.0131809 -5.23447e-05 0.180884 -0.0131809 -0.188986 0.463124 -20.6431 0 0.172774 0 138.765
4.60827 -3.87999e-05 0.18616 -0.0161368 -5.58343e-05 0.18913 -0.0161368 -0.188986 0.463124 -20.6431 0 0.180855 0 138.762
4.62529 -4.11325e-05 0.194479 -0.0159946 -5.96742e-05 0.197553 -0.0159946 -0.188986 0.463124 -20.6431 0 0.189096 0 138.762
4.64224 -4.32466e-05 0.20294 -0.0126394 -6.34061e-05 0.206174 -0.0126394 -0.188986 0.463124 -20.6431 0 0.197487 0 138.765
4.65925 -4.51504e-05 0.211618 -0.0125007 -6.70546e-05 0.214981 -0.0125007 -0.188986 0.463124 -20.6431 0 0.20613 0 138.766
4.67625 -4.73308e-05 0.220469 -0.0157282 -7.10862e-05 0.223943 -0.0157282 -0.188986 0.463124 -20.6431 0 0.214934 0 138.762
4.69326 -4.98016e-05 0.229511 -0.0155841 -7.55683e-05 0.233116 -0.0155841 -0.188986 0.463124 -20.6431 0 0.22389 0 138.762
4.71026 -5.20136e-05 0.238723 -0.0119321 -7.99237e-05 0.242492 -0.0119321 -0.188986 0.463124 -20.6431 0 0.233057 0 138.766
4.72724 -5.39576e-05 0.248118 -0.0117791 -8.41955e-05 0.252053 -0.0117791 -0.188986 0.463124 -20.6431 0 0.242418 0 138.766
4.74425 -5.62192e-05 0.257699 -0.0152705 -8.89122e-05 0.261763 -0.0152705 -0.188986 0.463124 -20.6431 0 0.251987 0 138.763
4.76125 -5.88093e-05 0.267467 -0.015113 -9.42096e-05 0.27172 -0.015113 -0.188986 0.463124 -20.6431 0 0.261688 0 138.763
